# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Fri, 03 Apr 2026 03:00:58 +0200
#
# IP	number of (black)lists
#
8.222.196.52	1
8.222.205.203	1
8.222.233.235	1
8.222.242.233	1
8.222.249.57	1
8.228.68.225	1
8.228.74.254	1
8.228.106.46	1
8.229.97.48	1
8.229.174.111	1
8.229.241.102	1
8.229.248.153	1
8.243.64.201	1
12.23.182.69	1
12.26.3.210	1
12.182.125.210	1
13.58.84.198	1
13.59.16.128	1
13.59.132.170	1
13.70.40.215	1
13.73.111.251	1
13.73.202.182	1
13.83.163.80	1
13.83.163.136	1
13.88.153.146	1
13.90.46.11	1
13.208.34.15	1
13.217.5.198	1
13.217.33.101	1
13.220.225.102	1
13.220.231.31	1
13.235.114.201	1
14.1.104.2	1
14.1.104.12	1
14.1.104.24	1
14.1.104.38	1
14.1.104.64	1
14.1.104.80	1
14.1.104.86	1
14.1.104.87	1
14.1.104.105	1
14.1.104.108	1
14.1.104.124	1
14.1.104.134	1
14.1.104.135	1
14.1.104.143	1
14.1.104.151	1
14.1.104.167	1
14.1.104.205	1
14.1.104.210	1
14.1.104.224	1
14.1.104.241	1
14.1.104.252	1
14.1.104.253	1
14.1.105.16	1
14.1.105.20	1
14.1.105.25	1
14.1.105.26	1
14.1.105.45	1
14.1.105.60	1
14.1.105.73	1
14.1.105.77	1
14.1.105.96	1
14.1.105.113	1
14.1.105.115	1
14.1.105.120	1
14.1.105.149	1
14.1.105.150	1
14.1.105.157	1
14.1.105.165	1
14.1.105.185	1
14.1.105.192	1
14.1.105.198	1
14.1.105.208	1
14.1.105.219	1
14.1.105.238	1
14.1.105.250	1
14.1.106.10	1
14.1.106.25	1
14.1.106.55	1
14.1.106.60	1
14.1.106.61	1
14.1.106.63	1
14.1.106.82	1
14.1.106.91	1
14.1.106.116	1
14.1.106.124	1
14.1.106.135	1
14.1.106.150	1
14.1.106.156	1
14.1.106.170	1
14.1.106.177	1
14.1.106.184	1
14.1.106.195	1
14.1.106.208	1
14.1.106.215	1
14.1.106.225	1
14.1.107.6	1
14.1.107.29	1
14.1.107.37	1
14.1.107.44	1
14.1.107.59	1
14.1.107.60	1
14.1.107.81	1
14.1.107.85	1
14.1.107.92	1
14.1.107.112	1
14.1.107.115	1
14.1.107.123	1
14.1.107.129	1
14.1.107.143	1
14.1.107.157	1
14.1.107.160	1
14.1.107.164	1
14.1.107.174	1
14.1.107.177	1
14.1.107.183	1
14.1.107.192	1
14.1.107.196	1
14.1.107.208	1
14.1.107.212	1
14.1.107.219	1
14.1.107.220	1
14.1.107.224	1
14.1.107.226	1
14.1.107.227	1
14.1.107.240	1
14.1.107.249	1
14.1.107.254	1
14.1.119.12	1
14.3.203.138	1
14.3.219.197	1
14.3.236.110	1
14.5.162.132	1
14.6.22.28	1
14.18.90.195	1
14.18.102.204	1
14.18.106.132	1
14.18.108.180	1
14.18.119.55	1
14.18.120.74	1
14.19.210.22	1
14.22.89.30	1
14.29.99.108	1
14.29.99.253	1
14.29.133.245	1
14.29.146.201	1
14.29.168.134	1
14.29.177.111	1
14.29.184.105	1
14.29.185.29	1
14.29.187.159	1
14.29.193.101	1
14.29.194.14	1
14.29.194.70	1
14.29.194.91	1
14.29.199.174	1
14.29.200.32	1
14.29.205.76	1
14.29.207.84	1
14.29.210.240	1
14.29.223.101	1
14.29.223.222	1
14.29.232.106	1
14.29.232.159	1
14.29.238.147	1
14.29.248.123	1
14.33.83.154	1
14.35.50.20	1
14.36.38.211	1
14.38.208.166	1
14.39.99.2	1
14.43.144.234	1
14.44.24.66	1
14.44.32.95	1
14.45.142.178	1
14.45.174.104	1
14.46.69.52	1
14.48.114.123	1
14.48.240.75	1
14.48.251.107	1
14.50.83.136	1
14.51.236.211	1
14.53.4.253	1
14.53.205.55	1
14.63.225.172	1
14.97.148.190	1
14.99.171.46	1
14.99.205.86	1
14.99.205.146	1
14.103.103.208	1
14.103.107.228	1
14.103.107.234	1
14.103.107.250	1
14.103.111.13	1
14.103.111.162	1
14.103.112.116	1
14.103.112.122	1
14.103.113.224	1
14.103.114.20	1
14.103.114.85	1
14.103.114.102	1
14.103.114.137	1
14.103.114.195	1
14.103.115.85	1
14.103.115.90	1
14.103.115.117	1
14.103.115.156	1
14.103.115.159	1
14.103.115.182	1
14.103.117.88	1
14.103.117.145	1
14.103.118.136	1
14.103.118.150	1
14.103.118.190	1
14.103.118.213	1
14.103.120.132	1
14.103.122.89	1
14.103.122.182	1
14.103.127.30	1
14.103.127.74	1
14.103.127.75	1
14.103.127.87	1
14.103.127.198	1
14.103.128.118	1
14.103.139.4	1
14.103.139.157	1
14.103.140.196	1
14.103.147.55	1
14.103.150.185	1
14.103.152.56	1
14.103.153.174	1
14.103.159.174	1
14.103.159.240	1
14.103.160.123	1
14.103.163.65	1
14.103.165.147	1
14.103.173.166	1
14.116.146.214	1
14.116.147.254	1
14.116.157.49	1
14.116.157.174	1
14.116.159.191	1
14.116.186.119	1
14.116.207.75	1
14.116.211.167	1
14.135.74.139	1
14.135.74.217	1
14.135.75.1	1
14.135.75.4	1
14.135.75.6	1
14.135.75.7	1
14.135.75.8	1
14.135.75.9	1
14.135.75.10	1
14.135.75.11	1
14.135.75.20	1
14.135.75.21	1
14.135.75.26	1
14.135.75.27	1
14.135.75.32	1
14.135.75.35	1
14.135.75.39	1
14.135.75.40	1
14.135.75.41	1
14.135.75.42	1
14.135.75.44	1
14.135.75.45	1
14.135.75.47	1
14.135.75.50	1
14.135.75.51	1
14.135.75.52	1
14.135.75.56	1
14.135.75.57	1
14.135.75.62	1
14.135.75.63	1
14.135.75.64	1
14.135.75.67	1
14.135.75.70	1
14.135.75.73	1
14.135.75.74	1
14.135.75.75	1
14.135.75.76	1
14.135.75.77	1
14.135.75.79	1
14.135.75.80	1
14.135.75.82	1
14.135.75.84	1
14.135.75.86	1
14.135.75.90	1
14.135.75.91	1
14.135.75.95	1
14.135.75.98	1
14.135.75.99	1
14.135.75.101	1
14.135.75.103	1
14.135.75.104	1
14.135.75.108	1
14.135.75.112	1
14.135.75.113	1
14.135.75.115	1
14.135.75.117	1
14.135.75.120	1
14.135.75.121	1
14.135.75.123	1
14.135.75.125	1
14.135.75.128	1
14.135.75.131	1
14.135.75.132	1
14.135.75.134	1
14.135.75.136	1
14.135.75.139	1
14.135.75.141	1
14.135.75.143	1
14.135.75.145	1
14.135.75.146	1
14.135.75.151	1
14.135.75.152	1
14.135.75.154	1
14.135.75.155	1
14.135.75.158	1
14.135.75.159	1
14.135.75.161	1
14.135.75.162	1
14.135.75.165	1
14.135.75.167	1
14.135.75.173	1
14.135.75.176	1
14.135.75.177	1
14.135.75.180	1
14.167.11.210	1
14.169.44.3	1
14.169.129.123	1
14.177.74.0	1
14.181.121.121	1
14.183.16.67	1
14.183.207.152	1
14.187.52.204	1
14.187.152.212	1
14.192.194.66	1
14.194.19.30	1
14.207.160.104	1
14.211.253.151	1
14.212.228.56	1
14.215.47.43	1
14.215.163.132	1
14.220.183.150	1
14.224.141.55	1
14.224.170.239	1
14.224.196.45	1
14.225.19.47	1
14.225.206.111	1
14.225.255.159	1
14.226.219.70	1
14.227.247.250	1
14.241.96.39	1
14.241.100.56	1
14.241.120.150	1
14.241.172.84	1
14.241.197.142	1
14.245.73.243	1
15.156.234.60	1
15.161.25.29	1
15.181.49.23	1
15.181.145.26	1
15.181.147.26	1
15.204.34.10	1
15.204.183.221	1
15.218.162.159	1
15.220.168.65	1
15.235.83.135	1
15.235.192.186	1
15.235.210.155	1
16.144.17.106	1
16.176.125.169	1
16.176.125.246	1
18.97.5.8	1
18.97.5.20	1
18.97.5.25	1
18.97.5.41	1
18.97.5.43	1
18.97.5.52	1
18.97.5.59	1
18.97.5.64	1
18.97.5.67	1
18.97.5.71	1
18.97.5.72	1
18.97.5.75	1
18.97.5.78	1
18.97.5.79	1
18.97.5.87	1
18.97.5.88	1
18.97.5.100	1
18.97.5.106	1
18.97.5.107	1
18.97.5.109	1
18.97.5.111	1
18.97.5.127	1
18.97.9.172	1
18.97.19.128	1
18.97.19.140	1
18.97.19.143	1
18.97.19.145	1
18.97.19.156	1
18.97.19.160	1
18.97.19.168	1
18.97.19.170	1
18.97.19.172	1
18.97.19.175	1
18.97.19.176	1
18.97.19.177	1
18.97.19.179	1
18.97.19.181	1
18.97.19.191	1
18.97.19.193	1
18.97.19.198	1
18.97.19.199	1
18.97.19.200	1
18.97.19.201	1
18.97.19.210	1
18.97.19.215	1
18.97.19.222	1
18.97.19.223	1
18.97.19.226	1
18.97.19.232	1
18.97.19.237	1
18.97.19.239	1
18.97.19.241	1
18.97.19.246	1
18.97.19.249	1
18.97.19.251	1
18.97.26.8	1
18.97.26.27	1
18.97.26.30	1
18.97.26.31	1
18.97.26.34	1
18.97.26.37	1
18.97.26.41	1
18.97.26.48	1
18.97.26.55	1
18.97.26.59	1
18.97.26.60	1
18.97.26.74	1
18.97.26.77	1
18.97.26.78	1
18.97.26.79	1
18.97.26.80	1
18.97.26.87	1
18.97.26.96	1
18.97.26.97	1
18.97.26.105	1
18.97.26.106	1
18.97.26.120	1
18.97.26.126	1
18.116.202.164	1
18.119.11.223	1
18.133.212.170	1
18.139.226.84	1
18.140.44.23	1
18.170.3.118	1
18.190.15.50	1
18.190.152.179	1
18.191.173.38	1
18.192.46.15	1
18.194.17.5	1
18.195.155.157	1
18.206.129.176	1
18.207.126.200	1
18.208.114.67	1
18.209.23.78	1
18.211.190.157	1
18.212.88.233	1
18.212.220.245	1
18.212.242.29	1
18.213.70.100	1
18.213.252.175	1
18.214.238.178	1
18.214.251.19	1
18.215.77.19	1
18.215.112.101	1
18.217.128.63	1
18.218.94.172	1
18.218.164.193	1
18.219.11.104	1
18.221.18.194	1
18.221.132.46	1
18.222.202.213	1
18.223.2.197	1
18.223.120.62	1
18.224.39.133	1
18.224.93.149	1
18.224.184.103	1
18.234.110.131	1
18.235.158.19	1
18.236.164.4	1
20.2.92.83	1
20.5.72.178	1
20.7.101.193	1
20.9.88.215	1
20.12.213.248	1
20.14.90.54	1
20.14.184.96	1
20.17.96.176	1
20.17.162.123	1
20.24.198.93	1
20.24.204.137	1
20.29.106.65	1
20.43.35.7	1
20.48.106.246	1
20.48.154.57	1
20.48.250.14	1
20.48.253.154	1
20.48.255.67	1
20.51.244.147	1
20.55.3.241	1
20.55.29.197	1
20.55.84.97	1
20.57.177.230	1
20.59.121.110	1
20.61.126.208	1
20.61.126.209	1
20.61.126.213	1
20.62.114.0	1
20.63.35.141	1
20.63.41.168	1
20.63.96.50	1
20.63.97.65	1
20.63.100.156	1
20.63.102.187	1
20.63.103.30	1
20.63.210.169	1
20.64.104.154	1
20.64.104.251	1
20.64.105.0	1
20.64.105.55	1
20.64.105.149	1
20.64.105.245	1
20.64.105.248	1
20.64.106.39	1
20.64.106.47	1
20.65.154.175	1
20.65.192.98	1
20.65.192.207	1
20.65.193.94	1
20.65.193.150	1
20.65.193.203	1
20.65.193.225	1
20.65.194.36	1
20.65.194.48	1
20.65.194.105	1
20.65.194.168	1
20.65.195.37	1
20.65.195.108	1
20.65.195.121	1
20.65.195.124	1
20.65.217.120	1
20.66.114.198	1
20.69.252.116	1
20.70.129.215	1
20.78.135.104	1
20.78.169.245	1
20.81.45.34	1
20.81.46.129	1
20.81.46.143	1
20.82.99.253	1
20.82.167.128	1
20.82.185.239	1
20.86.10.252	1
20.89.56.154	1
20.89.58.13	1
20.89.244.168	1
20.91.197.150	1
20.98.140.180	1
20.98.255.230	1
20.100.184.89	1
20.100.186.253	1
20.100.187.56	1
20.100.191.215	1
20.100.192.104	1
20.100.192.217	1
20.100.193.95	1
20.100.195.34	1
20.100.197.204	1
20.104.16.84	1
20.104.16.102	1
20.104.82.189	1
20.104.114.39	1
20.104.124.39	1
20.104.195.176	1
20.104.200.115	1
20.104.200.155	1
20.104.206.150	1
20.104.206.236	1
20.104.216.159	1
20.104.251.200	1
20.106.168.62	1
20.106.195.185	1
20.106.208.95	1
20.107.195.240	1
20.107.209.189	1
20.110.243.199	1
20.111.28.66	1
20.111.32.128	1
20.111.33.42	1
20.111.44.121	1
20.111.62.157	1
20.112.193.136	1
20.114.143.247	1
20.114.151.189	1
20.115.37.33	1
20.115.99.68	1
20.119.50.202	1
20.121.25.154	1
20.121.45.222	1
20.121.179.241	1
20.123.32.143	1
20.124.87.12	1
20.124.180.110	1
20.124.205.185	1
20.127.200.74	1
20.127.208.220	1
20.127.220.21	1
20.150.192.134	1
20.151.2.11	1
20.151.11.87	1
20.151.113.137	1
20.151.114.166	1
20.151.132.87	1
20.151.211.215	1
20.151.220.171	1
20.163.14.19	1
20.163.15.123	1
20.163.104.123	1
20.163.110.166	1
20.164.216.39	1
20.166.38.178	1
20.168.0.46	1
20.168.0.75	1
20.168.0.84	1
20.168.0.87	1
20.168.0.132	1
20.168.0.218	1
20.168.5.218	1
20.168.5.222	1
20.168.6.15	1
20.168.6.226	1
20.168.7.21	1
20.168.7.107	1
20.168.7.148	1
20.168.7.214	1
20.168.7.215	1
20.168.7.237	1
20.168.64.117	1
20.168.120.117	1
20.168.120.208	1
20.168.121.141	1
20.168.121.167	1
20.168.121.239	1
20.168.122.16	1
20.168.122.38	1
20.168.122.52	1
20.168.123.0	1
20.168.123.224	1
20.168.124.121	1
20.168.127.99	1
20.168.127.122	1
20.169.75.34	1
20.169.91.53	1
20.169.91.55	1
20.169.105.164	1
20.169.106.93	1
20.169.106.149	1
20.169.106.155	1
20.169.106.209	1
20.169.107.26	1
20.169.107.90	1
20.169.107.113	1
20.169.107.122	1
20.169.107.137	1
20.169.107.174	1
20.169.107.190	1
20.169.107.214	1
20.169.108.15	1
20.171.25.181	1
20.172.36.113	1
20.172.38.178	1
20.185.243.158	1
20.188.56.166	1
20.189.202.45	1
20.189.202.58	1
20.193.65.50	1
20.193.135.160	1
20.194.153.120	1
20.196.152.128	1
20.196.204.231	1
20.197.183.189	1
20.197.194.128	1
20.198.243.37	1
20.199.109.98	1
20.199.186.0	1
20.203.129.2	1
20.203.129.217	1
20.203.151.166	1
20.203.176.192	1
20.203.180.35	1
20.205.96.233	1
20.205.115.105	1
20.205.227.70	1
20.207.200.208	1
20.210.88.198	1
20.210.192.155	1
20.212.160.42	1
20.212.200.144	1
20.213.25.204	1
20.213.160.162	1
20.214.155.242	1
20.215.48.26	1
20.215.69.209	1
20.215.184.141	1
20.215.208.157	1
20.216.138.90	1
20.219.0.101	1
20.219.32.156	1
20.219.132.149	1
20.219.216.27	1
20.220.8.64	1
20.220.62.160	1
20.220.144.75	1
20.220.144.87	1
20.220.146.242	1
20.220.148.100	1
20.220.165.49	1
20.220.185.65	1
20.220.189.106	1
20.220.196.236	1
20.220.211.253	1
20.220.217.186	1
20.220.227.4	1
20.221.71.226	1
20.223.168.112	1
20.226.4.6	1
20.226.46.201	1
20.226.72.134	1
20.226.90.252	1
20.228.75.240	1
20.233.204.10	1
20.234.20.103	1
20.234.81.214	1
20.234.88.224	1
20.234.124.133	1
20.237.162.63	1
20.237.163.228	1
20.237.172.159	1
20.237.193.91	1
20.237.211.104	1
20.237.216.19	1
20.237.233.79	1
20.238.51.51	1
20.238.121.35	1
20.238.240.42	1
20.239.139.3	1
20.240.42.45	1
20.240.218.191	1
20.242.98.225	1
20.243.148.42	1
20.244.5.230	1
20.245.24.232	1
20.245.114.68	1
20.250.5.104	1
20.250.8.22	1
20.250.10.152	1
20.251.116.241	1
20.251.200.74	1
23.17.35.68	1
23.21.225.190	1
23.22.59.87	1
23.22.203.247	1
23.22.235.145	1
23.23.99.55	1
23.23.214.190	1
23.84.244.175	1
23.88.39.29	1
23.92.27.206	1
23.94.112.35	1
23.94.147.7	1
23.94.188.210	1
23.94.226.108	1
23.95.55.242	1
23.95.96.140	1
23.97.62.112	1
23.97.62.113	1
23.97.62.115	1
23.97.62.116	1
23.97.62.117	1
23.97.62.120	1
23.97.62.122	1
23.97.62.132	1
23.97.62.133	1
23.97.62.135	1
23.97.62.137	1
23.97.62.139	1
23.97.62.145	1
23.97.62.147	1
23.97.62.150	1
23.97.62.151	1
23.97.62.154	1
23.98.148.92	1
23.98.151.80	1
23.100.33.218	1
23.106.229.114	1
23.111.14.73	1
23.112.37.77	1
23.140.184.138	1
23.158.40.200	1
23.168.152.39	1
23.174.104.178	1
23.176.184.11	1
23.176.184.61	1
23.176.184.152	1
23.177.184.46	1
23.180.120.131	1
23.180.120.132	1
23.190.152.61	1
23.227.173.100	1
23.234.96.178	1
23.239.12.90	1
23.239.12.124	1
23.239.12.167	1
23.239.16.74	1
23.239.29.89	1
23.252.134.48	1
24.5.244.85	1
24.23.221.102	1
24.45.132.18	1
24.49.217.14	1
24.55.196.50	1
24.65.233.27	1
24.68.167.246	1
24.71.244.232	1
24.74.137.18	1
24.77.12.10	1
24.77.77.1	1
24.80.248.212	1
24.83.60.18	1
24.90.204.80	1
24.107.208.181	1
24.122.171.64	1
24.137.45.41	1
24.137.45.107	1
24.137.45.205	1
24.137.47.81	1
24.137.47.204	1
24.139.85.223	1
24.144.82.99	1
24.144.116.101	1
24.146.240.78	1
24.176.173.57	1
24.188.122.244	1
24.193.152.228	1
24.199.86.249	1
24.199.94.108	1
24.199.120.7	1
24.199.125.179	1
24.232.239.193	1
24.234.202.117	1
24.242.241.150	1
24.244.92.85	1
24.244.92.195	1
24.244.92.197	1
24.244.93.35	1
24.244.93.239	1
27.2.248.204	1
27.6.134.121	1
27.19.225.48	1
27.30.58.230	1
27.34.34.181	1
27.34.64.25	1
27.35.50.9	1
27.35.60.161	1
27.72.25.53	1
27.73.37.162	1
27.75.21.167	1
27.79.0.38	1
27.79.0.92	1
27.79.0.226	1
27.79.1.83	1
27.79.2.29	1
27.79.2.33	1
27.79.2.72	1
27.79.2.182	1
27.79.2.201	1
27.79.4.13	1
27.79.4.79	1
27.79.4.92	1
27.79.4.133	1
27.79.4.146	1
27.79.4.149	1
27.79.4.153	1
27.79.4.235	1
27.79.4.244	1
27.79.5.60	1
27.79.5.75	1
27.79.5.85	1
27.79.5.161	1
27.79.5.171	1
27.79.5.190	1
27.79.6.46	1
27.79.6.52	1
27.79.6.57	1
27.79.6.79	1
27.79.6.189	1
27.79.6.234	1
27.79.7.10	1
27.79.7.41	1
27.79.7.122	1
27.79.7.149	1
27.79.40.65	1
27.79.40.139	1
27.79.40.142	1
27.79.40.148	1
27.79.40.230	1
27.79.40.244	1
27.79.41.14	1
27.79.41.39	1
27.79.41.50	1
27.79.41.62	1
27.79.41.80	1
27.79.41.94	1
27.79.41.168	1
27.79.42.193	1
27.79.42.202	1
27.79.42.242	1
27.79.43.66	1
27.79.43.110	1
27.79.43.142	1
27.79.43.210	1
27.79.44.23	1
27.79.44.104	1
27.79.44.125	1
27.79.44.181	1
27.79.44.182	1
27.79.45.74	1
27.79.45.136	1
27.79.45.217	1
27.79.45.222	1
27.79.45.240	1
27.79.46.3	1
27.79.46.4	1
27.79.46.26	1
27.79.46.57	1
27.79.46.127	1
27.79.46.254	1
27.79.47.156	1
27.79.47.179	1
27.79.47.181	1
27.79.47.196	1
27.79.47.225	1
27.79.47.226	1
27.96.87.242	1
27.105.45.121	1
27.107.197.154	1
27.109.25.210	1
27.112.78.44	1
27.112.78.95	1
27.112.79.3	1
27.112.79.121	1
27.115.124.2	1
27.115.124.3	1
27.115.124.4	1
27.115.124.5	1
27.115.124.6	1
27.115.124.33	1
27.115.124.34	1
27.115.124.38	1
27.115.124.40	1
27.115.124.41	1
27.115.124.45	1
27.115.124.48	1
27.115.124.49	1
27.115.124.53	1
27.115.124.66	1
27.115.124.67	1
27.115.124.68	1
27.115.124.69	1
27.115.124.70	1
27.115.124.96	1
27.115.124.97	1
27.115.124.101	1
27.115.124.104	1
27.115.124.109	1
27.115.124.112	1
27.115.124.113	1
27.115.124.114	1
27.115.124.118	1
27.118.25.248	1
27.123.94.186	1
27.123.98.102	1
27.123.109.138	1
27.134.86.182	1
27.147.36.33	1
27.147.191.110	1
27.147.207.79	1
27.158.12.41	1
27.188.74.121	1
27.190.15.128	1
27.195.26.15	1
27.196.12.158	1
27.215.38.124	1
27.215.212.113	1
27.218.153.243	1
27.219.2.91	1
27.254.152.90	1
31.24.155.180	1
31.28.9.212	1
31.28.15.72	1
31.31.118.93	1
31.48.188.174	1
31.56.177.207	1
31.56.197.248	1
31.56.205.24	1
31.57.63.12	1
31.57.216.8	1
31.57.216.9	1
31.57.216.10	1
31.57.216.13	1
31.57.216.15	1
31.57.216.30	1
31.57.216.31	1
31.57.216.32	1
31.57.216.59	1
31.57.216.64	1
31.57.216.66	1
31.57.216.67	1
31.57.216.72	1
31.57.216.74	1
31.57.216.98	1
31.57.216.144	1
31.57.216.148	1
31.57.216.164	1
31.57.216.165	1
31.57.216.166	1
31.57.216.167	1
31.57.216.176	1
31.57.216.177	1
31.57.216.178	1
31.57.216.179	1
31.57.216.180	1
31.57.216.181	1
31.57.216.184	1
31.57.216.185	1
31.57.216.186	1
31.57.216.187	1
31.57.216.206	1
31.57.216.207	1
31.57.216.211	1
31.57.216.212	1
31.57.216.213	1
31.57.216.214	1
31.57.216.215	1
31.57.216.216	1
31.57.243.42	1
31.58.137.104	1
31.58.214.23	1
31.58.236.100	1
31.58.236.217	1
31.59.89.71	1
31.59.89.180	1
31.59.118.33	1
31.141.254.52	1
31.146.223.126	1
31.148.99.199	1
31.148.99.220	1
31.154.107.212	1
31.154.130.86	1
31.170.22.196	1
31.170.116.45	1
31.171.130.1	1
31.171.130.5	1
31.171.130.6	1
31.171.130.7	1
31.171.130.8	1
31.171.130.9	1
31.171.130.10	1
31.171.130.11	1
31.171.130.12	1
31.171.130.13	1
31.171.130.14	1
31.171.130.16	1
31.171.130.18	1
31.171.130.23	1
31.171.130.24	1
31.171.130.26	1
31.171.130.29	1
31.171.130.34	1
31.171.130.35	1
31.171.130.37	1
31.171.130.39	1
31.171.130.43	1
31.171.130.44	1
31.171.130.48	1
31.171.130.50	1
31.171.130.51	1
31.171.130.53	1
31.171.130.55	1
31.171.130.56	1
31.171.130.58	1
31.171.130.59	1
31.171.130.60	1
31.171.130.61	1
31.171.130.62	1
31.171.130.63	1
31.171.130.65	1
31.171.130.66	1
31.171.130.67	1
31.171.130.69	1
31.171.130.70	1
31.171.130.71	1
31.171.130.72	1
31.171.130.73	1
31.171.130.74	1
31.171.130.75	1
31.171.130.76	1
31.171.130.77	1
31.171.130.78	1
31.171.130.79	1
31.171.130.81	1
31.171.130.83	1
31.171.130.84	1
31.171.130.85	1
31.171.130.86	1
31.171.130.87	1
31.171.130.88	1
31.171.130.89	1
31.171.130.90	1
31.171.130.91	1
31.171.130.92	1
31.171.130.93	1
31.171.130.94	1
31.171.130.97	1
31.171.130.99	1
31.171.130.100	1
31.171.130.101	1
31.171.130.102	1
31.171.130.103	1
31.171.130.104	1
31.171.130.105	1
31.171.130.107	1
31.171.130.108	1
31.171.130.109	1
31.171.130.110	1
31.171.130.111	1
31.171.130.112	1
31.171.130.113	1
31.171.130.114	1
31.171.130.115	1
31.171.130.116	1
31.171.130.118	1
31.171.130.119	1
31.171.130.120	1
31.171.130.121	1
31.171.130.122	1
31.171.130.123	1
31.171.130.130	1
31.171.130.131	1
31.171.130.132	1
31.171.130.133	1
31.171.130.134	1
31.171.130.135	1
31.171.130.136	1
31.171.130.137	1
31.171.130.138	1
31.171.130.139	1
31.171.130.141	1
31.171.130.142	1
31.171.130.143	1
31.171.130.144	1
31.171.130.145	1
31.171.130.146	1
31.171.130.147	1
31.171.130.148	1
31.171.130.149	1
31.171.130.150	1
31.171.130.151	1
31.171.130.152	1
31.171.130.154	1
31.171.130.156	1
31.171.130.157	1
31.171.130.158	1
31.171.130.159	1
31.171.130.160	1
31.171.130.161	1
31.171.130.162	1
31.171.130.163	1
31.171.130.164	1
31.171.130.165	1
31.173.0.26	1
31.173.9.242	1
31.173.31.19	1
31.184.236.37	1
31.201.108.202	1
31.202.87.158	1
31.208.188.18	1
31.220.80.169	1
31.220.83.198	1
31.221.81.222	1
32.217.245.211	1
34.6.75.77	1
34.9.243.172	1
34.10.23.61	1
34.11.66.135	1
34.13.241.185	1
34.14.25.163	1
34.14.33.150	1
34.14.37.72	1
34.14.216.83	1
34.16.201.141	1
34.19.116.48	1
34.19.116.49	1
34.19.116.50	1
34.19.116.51	1
34.19.116.52	1
34.19.116.53	1
34.19.116.54	1
34.19.116.55	1
34.19.116.56	1
34.19.116.57	1
34.19.116.58	1
34.19.116.59	1
34.19.116.60	1
34.19.116.61	1
34.19.116.62	1
34.19.116.63	1
34.19.127.176	1
34.19.127.177	1
34.19.127.179	1
34.19.127.180	1
34.19.127.181	1
34.19.127.182	1
34.19.127.183	1
34.19.127.184	1
34.19.127.185	1
34.19.127.186	1
34.19.127.187	1
34.19.127.188	1
34.19.127.189	1
34.19.127.190	1
34.19.127.191	1
34.19.127.192	1
34.19.127.193	1
34.19.127.194	1
34.19.127.195	1
34.19.127.196	1
34.19.127.197	1
34.19.127.198	1
34.19.127.199	1
34.19.127.200	1
34.19.127.201	1
34.19.127.202	1
34.19.127.204	1
34.19.127.205	1
34.19.127.206	1
34.19.127.207	1
34.19.127.208	1
34.19.127.209	1
34.19.127.210	1
34.19.127.211	1
34.19.127.212	1
34.19.127.213	1
34.19.127.214	1
34.19.127.215	1
34.19.127.216	1
34.19.127.218	1
34.19.127.219	1
34.19.127.221	1
34.19.198.21	1
34.21.117.105	1
34.23.211.143	1
34.24.17.98	1
34.24.111.171	1
34.26.125.127	1
34.26.156.41	1
34.28.38.228	1
34.29.94.142	1
34.30.166.9	1
34.30.221.138	1
34.30.242.53	1
34.32.135.229	1
34.34.21.174	1
34.34.64.191	1
34.34.155.0	1
34.38.7.185	1
34.39.255.185	1
34.40.41.181	1
34.44.37.110	1
34.45.61.30	1
34.45.236.128	1
34.48.2.128	1
34.48.25.198	1
34.48.140.196	1
34.48.205.0	1
34.52.241.191	1
34.53.107.129	1
34.55.116.94	1
34.57.4.198	1
34.58.204.197	1
34.59.79.87	1
34.60.107.64	1
34.61.65.90	1
34.61.82.184	1
34.66.123.44	1
34.68.34.64	1
34.68.34.65	1
34.68.34.66	1
34.68.34.67	1
34.68.34.68	1
34.68.34.69	1
34.68.34.70	1
34.68.34.71	1
34.68.34.72	1
34.68.34.73	1
34.68.34.74	1
34.68.34.75	1
34.68.34.76	1
34.68.34.77	1
34.68.34.78	1
34.68.34.79	1
34.68.34.80	1
34.68.34.81	1
34.68.34.82	1
34.68.34.83	1
34.68.34.84	1
34.68.34.85	1
34.68.34.86	1
34.68.34.87	1
34.68.34.88	1
34.68.34.89	1
34.68.34.90	1
34.68.34.91	1
34.68.34.92	1
34.68.34.93	1
34.68.34.94	1
34.68.34.95	1
34.68.48.112	1
34.68.119.121	1
34.69.221.175	1
34.70.113.152	1
34.72.179.167	1
34.73.73.46	1
34.73.90.21	1
34.74.162.91	1
34.75.95.93	1
34.75.204.95	1
34.76.38.195	1
34.76.100.121	1
34.76.111.153	1
34.78.202.124	1
34.79.24.134	1
34.79.131.45	1
34.79.198.196	1
34.80.34.147	1
34.82.43.29	1
34.82.150.148	1
34.82.170.184	1
34.82.191.113	1
34.83.1.192	1
34.85.160.3	1
34.85.165.80	1
34.85.243.54	1
34.86.19.88	1
34.86.192.219	1
34.87.166.121	1
34.88.250.224	1
34.90.254.162	1
34.91.196.16	1
34.92.81.41	1
34.93.43.217	1
34.93.124.35	1
34.95.224.99	1
34.97.146.136	1
34.105.10.118	1
34.105.89.129	1
34.122.48.76	1
34.127.168.52	1
34.129.174.165	1
34.130.149.163	1
34.130.163.206	1
34.131.103.6	1
34.131.236.249	1
34.133.111.203	1
34.135.77.225	1
34.135.131.236	1
